Folder_Name,Audio_Name,Mean,Median,Std_Deviation,Zero_Crossing_Rate,Energy,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Chroma,MFCCs
YAF_disgust,YAF_chief_disgust.wav,-2.1952967e-05,-0.00018080362,0.022747472,0.23271305189220184,0.017588468,3447.960816350045,2174.962231219735,5621.252553397362,0.3913356,-30.599363
YAF_disgust,YAF_chain_disgust.wav,-1.8029397e-05,-0.00034976937,0.02086651,0.20723876953125,0.015964253,3139.689602962276,2052.78377059737,4998.4844970703125,0.3427452,-30.325106
YAF_disgust,YAF_base_disgust.wav,-2.1150025e-05,-0.00020306226,0.022052696,0.2466613247863248,0.017039476,3609.513206867192,2183.8482424206177,5606.822791466346,0.3486495,-30.605677
YAF_disgust,YAF_ditch_disgust.wav,-2.4103263e-05,-0.00010273543,0.02026186,0.196533203125,0.015652329,3202.29348618793,2061.5604960198543,5041.901633522727,0.36522382,-30.454414
YAF_disgust,YAF_germ_disgust.wav,-1.8302862e-05,-0.00035341602,0.025729014,0.19205729166666666,0.020146148,2898.874227912092,1902.174868694959,4483.722887541118,0.3210737,-30.06813
YAF_disgust,YAF_fail_disgust.wav,-1.1073121e-05,-0.0005345691,0.030994724,0.214169921875,0.024828233,2975.5959454972012,2007.362994770877,4739.888671875,0.34850606,-29.107056
YAF_disgust,YAF_bath_disgust.wav,-1.3964539e-05,-0.0002198064,0.0284264,0.16022995283018868,0.022200162,2686.9129855380856,2061.888130574037,4567.883070459906,0.3701168,-28.233875
YAF_disgust,YAF_gap_disgust.wav,-1.5600504e-05,-0.00013827604,0.038933106,0.16374860491071427,0.030830175,2760.689308736174,1993.945766088143,4513.07373046875,0.36962515,-28.476477
YAF_disgust,YAF_goose_disgust.wav,-2.1181642e-05,-0.00010406316,0.035214182,0.24597603934151785,0.02638847,3609.059314574236,2139.9613784994663,5604.881286621094,0.33565897,-31.288559
YAF_disgust,YAF_cheek_disgust.wav,-2.1635007e-05,-0.0001731846,0.020887842,0.22167532784598215,0.015482141,3365.200831176862,2125.060654993141,5327.833557128906,0.38738427,-30.546553
YAF_disgust,YAF_beg_disgust.wav,-2.2298214e-05,-0.00015574123,0.022856012,0.16727556501116073,0.017151162,2917.531891939429,2198.3101386778735,4980.1300048828125,0.38140878,-29.615974
